"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.441280000E0,-2.033966827E1,2.562913322E1,-3.876738739E1,5.072932978E1
1.451288000E0,-2.033966827E1,2.562913322E1,-3.876738739E1,5.072932978E1
1.461282000E0,-2.023713684E1,2.552369881E1,-3.889040756E1,5.072932789E1
1.471307000E0,-2.014586639E1,2.549886513E1,-3.895403290E1,5.072932815E1
1.481315000E0,-2.014586639E1,2.549886513E1,-3.895403290E1,5.072932815E1
1.491296000E0,-1.981827736E1,2.560305786E1,-3.905360794E1,5.072933059E1
1.501334000E0,-1.957516289E1,2.573052406E1,-3.909243011E1,5.072933040E1
1.511342000E0,-1.957516289E1,2.573052406E1,-3.909243011E1,5.072933040E1
1.521323000E0,-1.903957748E1,2.595463562E1,-3.920862198E1,5.072932740E1
1.531360000E0,-1.878988838E1,2.605850220E1,-3.926015091E1,5.072932970E1
1.541368000E0,-1.878988838E1,2.605850220E1,-3.926015091E1,5.072932970E1
1.551366000E0,-1.761299896E1,2.622371483E1,-3.969337082E1,5.072932721E1
1.561387000E0,-1.683998489E1,2.625372314E1,-4.000777435E1,5.072933154E1
1.571395000E0,-1.683998489E1,2.625372314E1,-4.000777435E1,5.072933154E1
1.581399000E0,-1.657250595E1,2.637651825E1,-4.003868103E1,5.072932729E1
1.591414000E0,-1.631406212E1,2.645423889E1,-4.009350967E1,5.072932974E1
1.601422000E0,-1.631406212E1,2.645423889E1,-4.009350967E1,5.072932974E1
1.611412000E0,-1.580353737E1,2.663720894E1,-4.017676163E1,5.072932947E1
1.621440000E0,-1.553477669E1,2.672581863E1,-4.022270966E1,5.072933116E1
1.631448000E0,-1.553477669E1,2.672581863E1,-4.022270966E1,5.072933116E1
1.641441000E0,-1.482995033E1,2.694153023E1,-4.034465790E1,5.072932977E1
1.651467000E0,-1.434437943E1,2.703824234E1,-4.045537186E1,5.072932960E1
1.661475000E0,-1.434437943E1,2.703824234E1,-4.045537186E1,5.072932960E1
1.671470000E0,-1.314941502E1,2.724092484E1,-4.072455597E1,5.072932643E1
1.681494000E0,-1.245047569E1,2.734098816E1,-4.087689972E1,5.072932987E1
1.691502000E0,-1.245047569E1,2.734098816E1,-4.087689972E1,5.072932987E1
1.701500000E0,-1.006346416E1,2.750920105E1,-4.141781616E1,5.072933026E1
1.711520000E0,-8.784278870E0,2.761270332E1,-4.163940430E1,5.072933008E1
1.721528000E0,-8.784278870E0,2.761270332E1,-4.163940430E1,5.072933008E1
1.731529000E0,-8.348917961E0,2.778442001E1,-4.161473465E1,5.072932649E1
1.741547000E0,-8.146966934E0,2.785558510E1,-4.160718918E1,5.072932961E1
1.751555000E0,-8.146966934E0,2.785558510E1,-4.160718918E1,5.072932961E1
1.761557000E0,-7.602767467E0,2.825695610E1,-4.143920135E1,5.072933126E1
1.771574000E0,-7.402743816E0,2.831893539E1,-4.143310165E1,5.072932712E1
1.781582000E0,-7.402743816E0,2.831893539E1,-4.143310165E1,5.072932712E1
